control,source_frame,start_time,end_time,substeps,clipped_joint_count,target_rmse_vs_expert,hip_roll_target,hip_roll_expert_target,hip_roll_raw,hip_roll_start_q,hip_roll_end_q,hip_roll_end_dq,interval_max_speed_ratio,interval_max_speed_joint,inference_ms
250,261,4.999999999999671,5.019999999999669,10,0,0.04553995490137792,-0.3389043338291735,-0.3350622004837994,-0.3389043338291735,0.018774582767734183,0.014555836993635305,-0.3876112860781202,0.1460071206879437,right_knee_joint,3.5889999999909605
251,262,5.019999999999669,5.039999999999667,10,0,0.09324990328192331,-0.03414045035559954,0.10832241850330719,-0.03414045035559954,0.014555836993635305,0.004716442975662778,-0.7359414925824382,0.16913129225821352,left_hip_yaw_joint,0.9115000000008422
252,263,5.039999999999667,5.059999999999665,10,0,0.30562535652264927,-0.20572256354240004,-0.13428965125094144,-0.20572256354240004,0.004716442975662778,-0.007250217521991418,-0.568432960009206,0.17459434569950896,left_knee_joint,0.7233000000042011
253,264,5.059999999999665,5.079999999999663,10,0,0.090892424633573,0.45137065173647173,0.19788792847011297,0.45137065173647173,-0.007250217521991418,0.014650285761216016,1.8059826876940666,0.11238347964459146,left_knee_joint,0.5472999999938111
254,265,5.079999999999663,5.09999999999966,10,0,0.22907225699428005,0.3551022674765001,0.047563575921223754,0.3551022674765001,0.014650285761216016,0.04943940626262652,1.6661813215789139,0.09402011742527694,left_hip_yaw_joint,0.5735000000015589
255,266,5.09999999999966,5.119999999999658,10,0,0.2868865988272913,-0.866397669044396,0.009203524127741683,-0.866397669044396,0.04943940626262652,0.006625228402264145,-2.8296030619969104,0.414174082557116,right_ankle_pitch_joint,0.5285999999955493
256,267,5.119999999999658,5.139999999999656,10,2,0.23987520628427159,-0.48840962914812636,0.011803815769629076,-0.48840962914812636,0.006625228402264145,-0.03129676434421839,-1.3978366712462393,0.12923825688667237,right_hip_roll_joint,0.9233999999906928
257,268,5.139999999999656,5.159999999999654,10,2,0.29081776642306756,0.5236,0.002417069805241027,0.6914384928554966,-0.03129676434421839,-0.024273171392188056,0.9250873975667215,0.08560224857423102,left_knee_joint,0.6422000000014805
258,269,5.159999999999654,5.1799999999996515,10,1,0.24008539259618972,0.48660531605731094,-0.09158908867168501,0.48660531605731094,-0.024273171392188056,-0.018058547731302846,0.0570825612436844,0.11181535149896231,right_knee_joint,0.5265000000065356
259,270,5.1799999999996515,5.199999999999649,10,3,0.30493766185655563,0.5236,-0.06496400086824246,0.5967165289192664,-0.018058547731302846,-0.014623828199998721,0.1323730537209474,0.0990651778401928,right_knee_joint,0.5179999999995744
260,271,5.199999999999649,5.219999999999647,10,2,0.24679375242593637,0.5206412835614458,-0.0276312085817373,0.5206412835614458,-0.014623828199998721,-0.011578946241071681,0.11727166156689399,0.07727121952592438,left_knee_joint,0.5152999999893382
261,272,5.219999999999647,5.239999999999645,10,2,0.24806983643020217,0.13651792636208615,-0.30663424389162713,0.13651792636208615,-0.011578946241071681,-0.005949499753151942,0.37593184431113147,0.0640516558886797,left_ankle_pitch_joint,0.6727000000097405
262,273,5.239999999999645,5.259999999999643,10,2,0.24819468196219163,0.213436212668344,0.009766928542180527,0.213436212668344,-0.005949499753151942,0.007208144573862592,0.7708993692798115,0.08715314365014103,right_ankle_pitch_joint,0.5313999999998487
263,274,5.259999999999643,5.2799999999996405,10,1,0.3150093657062256,0.2248617647183604,-0.08928528628045211,0.2248617647183604,0.007208144573862592,0.023398309212061163,0.7670487945543346,0.10393961796149717,left_knee_joint,0.6834999999938418
264,275,5.2799999999996405,5.299999999999638,10,0,0.2391766688151205,-0.17180130318320064,0.004367099009386412,-0.17180130318320064,0.023398309212061163,0.01854889123793661,-0.5282748212892876,0.12471355968718309,left_knee_joint,0.5636000000066588
265,276,5.299999999999638,5.319999999999636,10,0,0.16435851649376929,-0.20802517196104464,-0.003468871870776771,-0.20802517196104464,0.01854889123793661,0.004481570041534471,-0.7979444429614677,0.14449231304946353,left_knee_joint,0.5213000000026113
266,277,5.319999999999636,5.339999999999634,10,1,0.1152593968358599,0.16686369440262894,0.0701993504677738,0.16686369440262894,0.004481570041534471,0.003043678137654906,0.21482871436708492,0.1747963065020364,left_ankle_pitch_joint,0.5433999999979733
267,278,5.339999999999634,5.359999999999632,10,4,0.4519971597813086,0.5236,-0.04081549309922555,0.9688677553682439,0.003043678137654906,0.015481294048007686,0.433022444585811,0.21121909742588374,right_ankle_pitch_joint,0.5345000000005484
268,279,5.359999999999632,5.3799999999996295,10,2,0.34242588544909186,0.5236,0.00011514156236314786,0.683262335054355,0.015481294048007686,0.04077112178487642,1.86528480486468,0.30375368533926417,right_ankle_pitch_joint,0.533300000000736
269,280,5.3799999999996295,5.399999999999627,10,3,0.3680914653000667,-0.22309539692274072,0.05068918703171792,-0.22309539692274072,0.04077112178487642,0.02897581768890034,-1.3720874750962442,0.23188116372347106,right_ankle_roll_joint,0.5215999999990117
270,281,5.399999999999627,5.419999999999625,10,4,0.4921456034736814,-0.31863244348503983,0.09412800224072833,-0.31863244348503983,0.02897581768890034,-0.03698316491602094,-2.9041184644542875,0.2088230942153178,right_hip_roll_joint,0.647600000007742
271,282,5.419999999999625,5.439999999999623,10,4,0.3721063799189805,0.24091200040035687,0.0923503375897299,0.24091200040035687,-0.03698316491602094,-0.03022809013275374,1.8162392697420506,0.11894096989687183,left_ankle_pitch_joint,0.5945999999994456
272,283,5.439999999999623,5.459999999999621,10,4,0.4530947126357994,-1.4330411340991134,-0.2724131361925393,-1.4330411340991134,-0.03022809013275374,-0.10395515365114225,-5.899702905691321,0.29498514528456604,right_hip_roll_joint,0.5696000000057211
273,284,5.459999999999621,5.4799999999996185,10,5,0.6114916786868543,0.5236,-0.35153225610771066,2.184081672726549,-0.10395515365114225,-0.14652602932932585,-0.19419925303200025,0.24983090652312653,right_ankle_pitch_joint,0.5127999999956501
274,285,5.4799999999996185,5.499999999999616,10,5,0.7691365593880065,0.5236,-0.32753184811449626,3.3816680628896734,-0.14652602932932585,-0.14518530902262125,0.5440887257415573,0.5447806607052453,left_hip_yaw_joint,0.7264999999989641
275,286,5.499999999999616,5.519999999999614,10,4,0.9684317584837315,0.5236,-0.3710374990504499,4.2539556531899905,-0.14518530902262125,-0.17804502391923904,-0.6956202448304728,0.5284380494636596,right_hip_yaw_joint,0.5273999999957368
276,287,5.519999999999614,5.539999999999612,10,8,0.9448089820980354,0.5236,-0.5160574165088719,2.1058495533309127,-0.17804502391923904,-0.01954220187934974,10.072770474677291,0.8482985330033752,left_knee_joint,0.5278999999944745
277,288,5.539999999999612,5.55999999999961,10,6,0.5400618260846192,0.5236,-0.10508929740145583,2.2571838170798486,-0.01954220187934974,0.10538433086709594,3.201256580205351,0.6180673531139238,left_knee_joint,0.6818000000095026
278,289,5.55999999999961,5.5799999999996075,10,3,0.8512403506473321,-1.3142545188256136,-0.3358816051184479,-1.3142545188256136,0.10538433086709594,0.0581314955127694,-4.707839088876549,0.48612293069617557,right_ankle_pitch_joint,0.5912999999964086
279,290,5.5799999999996075,5.599999999999605,10,11,1.6629520268505005,-2.9671,0.10642177056802185,-3.097774420121496,0.0581314955127694,0.012533042177296675,-0.34319728025985347,0.32842930855915947,waist_yaw_joint,0.5271999999933996
280,291,5.599999999999605,5.619999999999603,10,3,0.5772162469074558,-1.3190750017412682,-0.05142138706964648,-1.3190750017412682,0.012533042177296675,-0.008645441914863685,-1.741619901482466,0.3878865799464769,left_knee_joint,0.6843000000031907
281,292,5.619999999999603,5.639999999999601,10,5,1.1505729862959568,0.04693041079977167,-0.3636895287325228,0.04693041079977167,-0.008645441914863685,0.04153800646593418,4.233241224008809,0.4392636588126982,right_hip_yaw_joint,0.5391999999915242
282,293,5.639999999999601,5.659999999999599,10,1,0.5995841912435058,0.11734477207928684,-0.7502478667715475,0.11734477207928684,0.04153800646593418,0.05818602150300955,-0.2109213620978859,0.3704887117666259,left_hip_roll_joint,0.5170000000020991
283,294,5.659999999999599,5.6799999999995965,10,8,0.997868804888577,-2.9671,-0.3258052682212504,-7.474113143143484,0.05818602150300955,0.06931218195789174,2.434038067814006,0.522224020083765,left_knee_joint,0.7157000000006519
284,295,5.6799999999995965,5.699999999999594,10,2,1.205226393004128,-2.7088413342076905,0.46602976462473705,-2.7088413342076905,0.06931218195789174,0.10682430059108906,1.1557075379381092,0.4556495980889254,left_knee_joint,0.5661000000003469
285,296,5.699999999999594,5.719999999999592,10,9,1.434298396891061,-2.9671,-0.1596349266132482,-5.400209627206124,0.10682430059108906,0.1672583094176851,4.293922978316251,0.36399461837013924,right_shoulder_yaw_joint,0.5471000000056847
286,297,5.719999999999592,5.73999999999959,10,5,1.0558412859428035,-2.681944335764186,0.0359659661539298,-2.681944335764186,0.1672583094176851,0.16623972437639917,-1.9628727555063146,0.3889685776126073,left_hip_yaw_joint,0.5548000000032971
287,298,5.73999999999959,5.759999999999588,10,9,1.490474298428303,-2.9671,0.3040195471465201,-4.199451332860633,0.16623972437639917,0.23143304984173793,4.859803094498853,0.6616043286017278,right_knee_joint,0.5309999999951742
288,299,5.759999999999588,5.7799999999995855,10,3,0.8412773084126051,0.4549627369943572,-0.45742421532857885,0.4549627369943572,0.23143304984173793,0.19658009525874173,-3.3410754724177605,0.8107810940234362,left_hip_roll_joint,0.5466000000069471
289,300,5.7799999999995855,5.799999999999583,10,5,1.0633099447398586,-1.4787845905775754,-0.4139713491952096,-1.4787845905775754,0.19658009525874173,0.08730050918461185,-7.1854100376134395,0.8401630513289845,left_hip_roll_joint,0.8995999999967808
290,301,5.799999999999583,5.819999999999581,10,7,1.2489675967504426,-0.13890639934007876,-0.35240315699287406,-0.13890639934007876,0.08730050918461185,-0.04148481837639939,-5.8740403934547984,0.9233473270178207,right_knee_joint,0.5752999999941721
291,302,5.819999999999581,5.83199999999958,6,10,1.1816690542878432,-2.9671,-0.6746014572067257,-3.423056783091525,-0.04148481837639939,-0.22769387008178343,-22.398976358281068,1.1199488179140533,right_hip_roll_joint,0.5651000000028716
