control,candidate_id,target_rad,delay_substeps,passed,minimum_position_margin_rad,minimum_reserve_margin_rad,minimum_velocity_margin_rad_s,maximum_applied_effort_ratio,saturated_substeps,first_failure_substep,first_failure,limiting_joint,runtime_fixed_candidate_preview_passed
3169,0,-2.2515,0,False,-0.016424761128697618,-0.016524761128697617,14.961231487019933,0.3305474195055729,0,7,"native_joint_bound,preview_reserve",right_shoulder_roll_joint,False
3169,0,-2.2515,1,False,-0.01659990711218029,-0.01669990711218029,15.067608825548607,0.33046599229617535,0,7,"native_joint_bound,preview_reserve",right_shoulder_roll_joint,False
3169,0,-2.2515,2,False,-0.016810493583355957,-0.016910493583355956,15.067608825548607,0.33038451531116336,0,7,"native_joint_bound,preview_reserve",right_shoulder_roll_joint,False
3169,0,-2.2515,3,False,-0.017056278780400724,-0.017156278780400724,15.067608825548607,0.33031350426330364,0,7,"native_joint_bound,preview_reserve",right_shoulder_roll_joint,False
3169,0,-2.2515,4,False,-0.017336284732227814,-0.017436284732227813,15.067608825548607,0.33024183400043317,0,7,"native_joint_bound,preview_reserve",right_shoulder_roll_joint,False
3169,0,-2.2515,5,False,-0.01764899034450984,-0.01774899034450984,15.067608825548607,0.3301629363900373,0,7,"native_joint_bound,preview_reserve",right_shoulder_roll_joint,False
3169,0,-2.2515,6,False,-0.017992242454903273,-0.018092242454903273,15.067608825548607,0.33008789324341453,0,7,"native_joint_bound,preview_reserve",right_shoulder_roll_joint,False
3169,1,-2.236501171875,0,False,-0.015815646987253906,-0.015915646987253906,14.96129610149709,0.33054072207549007,0,7,"native_joint_bound,preview_reserve",right_shoulder_roll_joint,False
3169,1,-2.236501171875,1,False,-0.01608735374066761,-0.01618735374066761,15.067608825548607,0.3304649687786196,0,7,"native_joint_bound,preview_reserve",right_shoulder_roll_joint,False
3169,1,-2.236501171875,2,False,-0.016390509915350293,-0.016490509915350293,15.067608825548607,0.33038657754632467,0,7,"native_joint_bound,preview_reserve",right_shoulder_roll_joint,False
3169,1,-2.236501171875,3,False,-0.016724563533016656,-0.016824563533016656,15.067608825548607,0.330315694480612,0,7,"native_joint_bound,preview_reserve",right_shoulder_roll_joint,False
3169,1,-2.236501171875,4,False,-0.017088280024268876,-0.017188280024268875,15.067608825548607,0.33024802747216614,0,7,"native_joint_bound,preview_reserve",right_shoulder_roll_joint,False
3169,1,-2.236501171875,5,False,-0.017479825157376894,-0.017579825157376893,15.067608825548607,0.3301699976737985,0,7,"native_joint_bound,preview_reserve",right_shoulder_roll_joint,False
3169,1,-2.236501171875,6,False,-0.017896748164700327,-0.017996748164700326,15.067608825548607,0.330094022790813,0,7,"native_joint_bound,preview_reserve",right_shoulder_roll_joint,False
3169,2,-2.2295234203338623,0,False,-0.01553228054422151,-0.01563228054422151,14.961326161430026,0.330536806472069,0,7,"native_joint_bound,preview_reserve",right_shoulder_roll_joint,False
3169,2,-2.2295234203338623,1,False,-0.015848897063033274,-0.015948897063033273,15.067608825548607,0.3304644909671737,0,7,"native_joint_bound,preview_reserve",right_shoulder_roll_joint,False
3169,2,-2.2295234203338623,2,False,-0.01619512615886043,-0.01629512615886043,15.067608825548607,0.33038753626860795,0,7,"native_joint_bound,preview_reserve",right_shoulder_roll_joint,False
3169,2,-2.2295234203338623,3,False,-0.016570243832653375,-0.016670243832653375,15.067608825548607,0.3303167130606688,0,7,"native_joint_bound,preview_reserve",right_shoulder_roll_joint,False
3169,2,-2.2295234203338623,4,False,-0.01697290378459293,-0.01707290378459293,15.067608825548607,0.3302509090313664,0,7,"native_joint_bound,preview_reserve",right_shoulder_roll_joint,False
3169,2,-2.2295234203338623,5,False,-0.017401126302580394,-0.017501126302580394,15.067608825548607,0.3301732830072043,0,7,"native_joint_bound,preview_reserve",right_shoulder_roll_joint,False
3169,2,-2.2295234203338623,6,False,-0.017852322317918112,-0.01795232231791811,15.067608825548607,0.3300968745406398,0,7,"native_joint_bound,preview_reserve",right_shoulder_roll_joint,False
3169,3,-2.22150234375,0,False,-0.015206544522442744,-0.015306544522442744,14.961360715974248,0.3305323021863819,0,7,"native_joint_bound,preview_reserve",right_shoulder_roll_joint,False
3169,3,-2.22150234375,1,False,-0.015574785648387657,-0.015674785648387656,15.067608825548607,0.33046394041661237,0,7,"native_joint_bound,preview_reserve",right_shoulder_roll_joint,False
3169,3,-2.22150234375,2,False,-0.0159705290453247,-0.0160705290453247,15.067608825548607,0.3303886378140761,0,7,"native_joint_bound,preview_reserve",right_shoulder_roll_joint,False
3169,3,-2.22150234375,3,False,-0.016392850616630206,-0.016492850616630205,15.067608825548607,0.3303178836636022,0,7,"native_joint_bound,preview_reserve",right_shoulder_roll_joint,False
3169,3,-2.22150234375,4,False,-0.01684027665520338,-0.01694027665520338,15.067608825548607,0.3302542216291364,0,7,"native_joint_bound,preview_reserve",right_shoulder_roll_joint,False
3169,3,-2.22150234375,5,False,-0.017310670850456233,-0.017410670850456233,15.067608825548607,0.33017704191259684,0,7,"native_joint_bound,preview_reserve",right_shoulder_roll_joint,False
3169,3,-2.22150234375,6,False,-0.017801253833504838,-0.017901253833504837,15.067608825548607,0.3301001528168162,0,7,"native_joint_bound,preview_reserve",right_shoulder_roll_joint,False
3169,4,-2.221389911774417,0,False,-0.015201978657301218,-0.015301978657301218,14.96136120032764,0.3305322390250661,0,7,"native_joint_bound,preview_reserve",right_shoulder_roll_joint,False
3169,4,-2.221389911774417,1,False,-0.015570943414138672,-0.01567094341413867,15.067608825548607,0.3304639326896536,0,7,"native_joint_bound,preview_reserve",right_shoulder_roll_joint,False
3169,4,-2.221389911774417,2,False,-0.015967380858003644,-0.016067380858003643,15.067608825548607,0.33038865325050965,0,7,"native_joint_bound,preview_reserve",right_shoulder_roll_joint,False
3169,4,-2.221389911774417,3,False,-0.016390364088602727,-0.016490364088602726,15.067608825548607,0.33031790006991696,0,7,"native_joint_bound,preview_reserve",right_shoulder_roll_joint,False
3169,4,-2.221389911774417,4,False,-0.016838417614438494,-0.016938417614438494,15.067608825548607,0.3302542680634349,0,7,"native_joint_bound,preview_reserve",right_shoulder_roll_joint,False
3169,4,-2.221389911774417,5,False,-0.017309402982390587,-0.017409402982390586,15.067608825548607,0.33017709451546023,0,7,"native_joint_bound,preview_reserve",right_shoulder_roll_joint,False
3169,4,-2.221389911774417,6,False,-0.017800538003005073,-0.017900538003005072,15.067608825548607,0.33010019876960667,0,7,"native_joint_bound,preview_reserve",right_shoulder_roll_joint,False
3169,5,-2.206503515625,0,False,-0.014597441472112394,-0.014697441472112393,14.961425330451403,0.33052387027301866,0,7,"native_joint_bound,preview_reserve",right_shoulder_roll_joint,False
3169,5,-2.206503515625,1,False,-0.01506221883680503,-0.01516221883680503,15.067608825548607,0.330462907205607,0,7,"native_joint_bound,preview_reserve",right_shoulder_roll_joint,False
3169,5,-2.206503515625,2,False,-0.015550550971643151,-0.01565055097164315,15.067608825548607,0.3303906961105673,0,7,"native_joint_bound,preview_reserve",right_shoulder_roll_joint,False
3169,5,-2.206503515625,3,False,-0.016061140030567245,-0.016161140030567244,15.067608825548607,0.33032007180960293,0,7,"native_joint_bound,preview_reserve",right_shoulder_roll_joint,False
3169,5,-2.206503515625,4,False,-0.016592274624841252,-0.01669227462484125,15.067608825548607,0.3302604164698265,0,7,"native_joint_bound,preview_reserve",right_shoulder_roll_joint,False
3169,5,-2.206503515625,5,False,-0.01714153290931142,-0.017241532909311418,15.067608825548607,0.33018405971458503,0,7,"native_joint_bound,preview_reserve",right_shoulder_roll_joint,False
3169,5,-2.206503515625,6,False,-0.017705759461317694,-0.017805759461317693,15.067608825548607,0.3301062833213063,0,7,"native_joint_bound,preview_reserve",right_shoulder_roll_joint,False
3169,6,-2.1915046875,0,False,-0.013988337830661557,-0.014088337830661556,14.961489944928559,0.3305154263321051,0,7,"native_joint_bound,preview_reserve",right_shoulder_roll_joint,False
3169,6,-2.1915046875,1,False,-0.014549682671727293,-0.014649682671727293,15.067608825548607,0.3304618658232211,0,7,"native_joint_bound,preview_reserve",right_shoulder_roll_joint,False
3169,6,-2.1915046875,2,False,-0.015130575692667403,-0.015230575692667402,15.067608825548607,0.33039275243193883,0,7,"native_joint_bound,preview_reserve",right_shoulder_roll_joint,False
3169,6,-2.1915046875,3,False,-0.01572943177414965,-0.01582943177414965,15.067608825548607,0.3303222589159512,0,7,"native_joint_bound,preview_reserve",right_shoulder_roll_joint,False
3169,6,-2.1915046875,4,False,-0.016344273107743668,-0.016444273107743667,15.067608825548607,0.3302655716041925,0,7,"native_joint_bound,preview_reserve",right_shoulder_roll_joint,False
3169,6,-2.1915046875,5,False,-0.016972395368375803,-0.017072395368375803,15.067608825548607,0.3301910783050838,0,7,"native_joint_bound,preview_reserve",right_shoulder_roll_joint,False
3169,6,-2.1915046875,6,False,-0.017610266345386982,-0.01771026634538698,15.067608825548607,0.3301130714006592,0,7,"native_joint_bound,preview_reserve",right_shoulder_roll_joint,False
3169,7,-2.176505859375,0,False,-0.013418131701462777,-0.013518131701462776,14.961554559405716,0.3305067326998475,0,7,"native_joint_bound,preview_reserve",right_shoulder_roll_joint,False
3169,7,-2.176505859375,1,False,-0.01403716308917291,-0.01413716308917291,15.067608825548607,0.33046005021823077,0,7,"native_joint_bound,preview_reserve",right_shoulder_roll_joint,False
3169,7,-2.176505859375,2,False,-0.014710602809474338,-0.014810602809474337,15.067608825548607,0.33039480677435257,0,7,"native_joint_bound,preview_reserve",right_shoulder_roll_joint,False
3169,7,-2.176505859375,3,False,-0.015397727026665198,-0.015497727026665197,15.067608825548607,0.3303259270940009,0,7,"native_joint_bound,preview_reserve",right_shoulder_roll_joint,False
3169,7,-2.176505859375,4,False,-0.01609627228115862,-0.01619627228115862,15.067608825548607,0.3302699169907626,0,7,"native_joint_bound,preview_reserve",right_shoulder_roll_joint,False
3169,7,-2.176505859375,5,False,-0.01680325822762674,-0.016903258227626738,15.067608825548607,0.33019809768351555,0,7,"native_joint_bound,preview_reserve",right_shoulder_roll_joint,False
3169,7,-2.176505859375,6,False,-0.017514773459639255,-0.017614773459639254,15.067608825548607,0.3301199969621477,0,7,"native_joint_bound,preview_reserve",right_shoulder_roll_joint,False
3169,8,-2.16150703125,0,False,-0.012917775247010876,-0.013017775247010876,14.961619173882873,0.3304993207350439,0,7,"native_joint_bound,preview_reserve",right_shoulder_roll_joint,False
3169,8,-2.16150703125,1,False,-0.013524649016245505,-0.013624649016245504,15.067608825548607,0.33045565490040446,0,7,"native_joint_bound,preview_reserve",right_shoulder_roll_joint,False
3169,8,-2.16150703125,2,False,-0.014290618526043186,-0.014390618526043186,15.067608825548607,0.33039685913396993,0,7,"native_joint_bound,preview_reserve",right_shoulder_roll_joint,False
3169,8,-2.16150703125,3,False,-0.015066025274752093,-0.015166025274752092,15.067608825548607,0.3303304214214329,0,7,"native_joint_bound,preview_reserve",right_shoulder_roll_joint,False
3169,8,-2.16150703125,4,False,-0.015848296671544304,-0.015948296671544303,15.067608825548607,0.3302742330343908,0,7,"native_joint_bound,preview_reserve",right_shoulder_roll_joint,False
3169,8,-2.16150703125,5,False,-0.016634121487045128,-0.016734121487045128,15.067608825548607,0.3302051178492984,0,7,"native_joint_bound,preview_reserve",right_shoulder_roll_joint,False
3169,8,-2.16150703125,6,False,-0.01741928053378361,-0.01751928053378361,15.067608825548607,0.3301269230597279,0,7,"native_joint_bound,preview_reserve",right_shoulder_roll_joint,False
3169,9,-2.1465082031250002,0,False,-0.01484598503187362,-0.01494598503187362,14.961683788360029,0.3304110710652101,0,8,"native_joint_bound,preview_reserve",right_shoulder_roll_joint,False
3169,9,-2.1465082031250002,1,False,-0.01302980975625001,-0.01312980975625001,15.067608825548607,0.33045075423886505,0,7,"native_joint_bound,preview_reserve",right_shoulder_roll_joint,False
