candidate,target_rad,intervention_control,short_preview_all_seven_delays_passed,physical_seconds,seconds_beyond_fresh_baseline,physical_complete,tracking_passed,standing_passed,standing_status,timing_status,stop_reason,stop_control,terminal_joint_name,terminal_boundary,terminal_preview_excess_rad,physical_branch_reproduced_exactly
0,-1.2468128723144531,3168,True,63.5,0.11999999999999744,False,False,False,not_reached,not_evaluated_offline_counterfactual,preview_rejected,3175,right_shoulder_roll_joint,lower,0.007220433712541219,True
1,-0.5430489429618668,3168,True,79.72,16.339999999999996,False,False,False,not_reached,not_evaluated_offline_counterfactual,preview_rejected,3986,right_shoulder_roll_joint,lower,0.008029529079691233,True
2,1.5882,3168,True,63.54,0.1599999999999966,False,False,False,not_reached,not_evaluated_offline_counterfactual,preview_rejected,3177,right_shoulder_roll_joint,lower,0.013018167151917837,True
