candidate_id,target_rad,delay_substeps,passed,minimum_position_margin_rad,minimum_reserve_margin_rad,minimum_velocity_margin_rad_s,maximum_applied_effort_ratio,saturated_substeps,first_failure_substep,first_failure,limiting_joint,runtime_fixed_candidate_preview_passed
0,-2.2515,0,True,0.012087146678053884,0.011987146678053884,19.115019288412785,0.368942887437927,0,,,,True
0,-2.2515,1,True,0.014235155888213669,0.01413515588821367,19.143891732465253,0.3667653662249416,0,,,,True
0,-2.2515,2,True,0.016252577940949475,0.016152577940949476,19.173177201318612,0.3647811305063253,0,,,,True
0,-2.2515,3,True,0.018131388861407416,0.018031388861407417,19.17341438413383,0.36289580029409846,0,,,,True
0,-2.2515,4,True,0.01986403441007445,0.01976403441007445,19.155850161152536,0.36103398680376864,0,,,,True
0,-2.2515,5,True,0.0194617303014728,0.019361730301472802,19.138035722810592,0.3591385968929319,0,,,,True
0,-2.2515,6,True,0.018222712479222913,0.018122712479222914,19.120013548072727,0.3571597419827476,0,,,,True
1,-2.236501171875,0,True,0.013659545720654531,0.013559545720654532,19.116153200345334,0.368942887437927,0,,,,True
1,-2.236501171875,1,True,0.015654020413627734,0.015554020413627734,19.145024490915425,0.3667653662249416,0,,,,True
1,-2.236501171875,2,True,0.017522778596913202,0.017422778596913203,19.174308710995493,0.3647811305063253,0,,,,True
1,-2.236501171875,3,True,0.019258191550250103,0.019158191550250104,19.174478026668208,0.36289580029409846,0,,,,True
1,-2.236501171875,4,True,0.020773969881667576,0.020673969881667576,19.156914258774776,0.36103398680376864,0,,,,True
1,-2.236501171875,5,True,0.019435811991184604,0.019335811991184605,19.139099944081895,0.3591385968929319,0,,,,True
1,-2.236501171875,6,True,0.018196979714531825,0.018096979714531825,19.12107808842867,0.3571597419827476,0,,,,True
2,-2.229500333768483,0,True,0.014393588694829429,0.01429358869482943,19.11668253747658,0.368942887437927,0,,,,True
2,-2.229500333768483,1,True,0.01631637609063663,0.01621637609063663,19.14555328928513,0.3667653662249416,0,,,,True
2,-2.229500333768483,2,True,0.018115723872876632,0.018015723872876633,19.174836926136393,0.3647811305063253,0,,,,True
2,-2.229500333768483,3,True,0.019784187618002047,0.019684187618002048,19.174974069925106,0.36289580029409846,0,,,,True
2,-2.229500333768483,4,True,0.020761783241688203,0.020661783241688204,19.157410512556943,0.36103398680376864,0,,,,True
